rm;sprint;data_sprint
17675;201805-01;2018-05-02 10:17:52
17677;201801-02;2018-01-16 11:43:51
17677;201802-01;2018-01-30 10:10:26
17677;201802-02;2018-02-19 16:36:22
17677;201803-01;2018-03-07 11:46:11
17677;201803-02;2018-03-20 17:02:58
17677;201804-01;2018-04-02 11:31:46
17677;201804-02;2018-04-16 11:40:42
17677;201805-01;2018-05-02 10:17:54
17680;201712-02;2018-01-02 00:00:00
17683;201712-02;2018-01-02 00:00:00
17683;201801-01;2018-01-02 15:26:24
17683;201801-02;2018-01-16 11:37:57
17683;201802-01;2018-01-30 09:52:29
17683;201802-02;2018-02-19 16:33:04
17692;201802-02;2018-02-16 10:35:47
17692;201803-01;2018-03-07 11:46:13
17692;201803-02;2018-03-20 17:03:00
17692;201804-01;2018-04-02 11:33:03
17701;201805-02;2018-05-11 15:25:09
17702;201712-02;2018-01-02 00:00:00
17702;201801-01;2018-01-02 11:46:08
17702;201801-02;2018-01-16 11:29:43
17702;201802-01;2018-01-30 09:47:31
17702;201802-02;2018-02-19 16:30:03
17702;201803-01;2018-03-07 16:58:27
17702;201803-02;2018-03-20 11:32:01
17702;201804-01;2018-04-03 13:38:40
17702;201804-02;2018-04-16 16:18:05
17702;201805-01;2018-05-02 10:07:37
17703;201712-02;2018-01-02 00:00:00
17703;201801-01;2018-01-02 16:12:37
17708;201801-02;2018-01-16 17:10:04
17717;201805-02;2018-05-11 14:48:56
17728;201712-02;2018-01-02 00:00:00
17728;201801-01;2018-01-02 11:46:09
17746;201802-02;2018-02-20 10:09:03
17749;201801-01;2018-01-02 11:38:42
17749;201801-02;2018-01-16 11:29:44
17749;201802-01;2018-01-29 15:09:10
17749;201802-02;2018-02-19 16:25:35
17749;201803-01;2018-03-07 16:58:31
17749;201803-02;2018-03-20 16:45:24
17749;201804-01;2018-04-03 13:38:43
17749;201804-02;2018-04-16 16:18:08
17749;201805-01;2018-05-02 09:52:28
17763;201712-02;2018-01-02 00:00:00
17763;201801-01;2018-01-02 16:12:38
17763;201801-02;2018-01-16 11:40:11
17763;201802-01;2018-01-30 10:10:27
17788;201804-02;2018-02-20 14:36:15
17788;;2018-05-02 09:44:54
17790;201803-02;2018-02-20 11:31:57
17790;201804-01;2018-03-16 09:04:13
17790;;2018-04-03 14:05:59
17801;201712-02;2018-01-02 00:00:00
17801;201801-01;2018-01-02 16:12:39
17812;201712-02;2018-01-02 00:00:00
17812;201801-01;2018-01-02 11:33:04
17812;201801-02;2018-01-16 11:29:31
17812;201802-01;2018-01-30 09:47:22
17812;201802-02;2018-02-19 16:29:42
17812;201803-01;2018-03-07 16:57:52
17812;201803-02;2018-03-20 16:48:07
17812;201804-01;2018-04-03 13:38:04
17812;201804-02;2018-04-16 16:17:39
17812;201805-01;2018-05-02 09:51:52
17824;201712-02;2018-01-02 00:00:00
17824;201801-01;2018-01-02 11:46:10
17851;201802-02;2018-02-02 11:44:37
17851;201803-01;2018-03-07 11:46:14
17851;201803-02;2018-03-20 17:03:01
17851;201804-01;2018-04-02 11:31:47
17851;201804-02;2018-04-16 10:43:14
17851;201805-01;2018-05-02 10:17:55
17894;201802-02;2018-02-19 16:57:34
17906;201712-02;2018-01-02 00:00:00
17906;201801-01;2018-01-02 11:46:11
17910;201802-01;2018-01-26 11:17:51
17910;201802-02;2018-02-19 16:33:59
17910;201803-01;2018-03-08 08:55:31
17910;201803-02;2018-03-20 17:01:24
17910;201804-01;2018-04-03 09:11:52
17913;201712-02;2018-01-02 00:00:00
17913;201801-01;2018-01-02 11:46:12
17913;201801-02;2018-01-16 11:29:46
17913;201802-01;2018-01-30 09:47:33
17913;201802-02;2018-02-19 16:26:40
17913;201803-01;2018-03-07 16:58:33
17918;201712-02;2018-01-02 00:00:00
17918;201801-01;2018-01-03 07:41:42
17918;201801-02;2018-01-16 11:29:47
17918;201802-01;2018-01-30 09:47:35
17918;201802-02;2018-02-19 16:30:07
17918;201803-01;2018-03-07 16:58:34
17918;201803-02;2018-03-20 16:49:41
17918;201804-01;2018-04-03 13:38:45
17918;201804-02;2018-04-16 16:18:09
17918;201805-01;2018-05-02 09:52:29
17934;201712-02;2018-01-02 00:00:00
17934;201801-01;2018-01-02 16:12:40
17934;201801-02;2018-01-16 11:40:13
17934;201802-01;2018-01-30 10:10:29
17934;201802-02;2018-02-19 16:37:45
17934;201803-01;2018-03-07 11:46:15
17953;201712-02;2018-01-02 00:00:00
17953;201801-02;2018-01-02 11:34:25
17953;201802-01;2018-01-26 17:09:32
17953;201802-02;2018-02-19 16:29:48
17953;201803-01;2018-03-07 16:57:58
17953;201803-02;2018-03-20 16:48:13
17953;201804-01;2018-04-03 13:38:10
17953;201804-02;2018-04-16 16:17:41
17953;201805-01;2018-05-02 09:51:59
17969;201804-01;2018-02-20 09:37:36
17969;;2018-04-03 14:06:06
17984;201801-02;2018-01-15 13:55:04
17984;201802-01;2018-01-30 09:52:31
17985;201712-02;2018-01-02 00:00:00
17985;201801-01;2018-01-02 11:12:27
17985;201801-02;2018-01-16 11:29:49
18003;201801-01;2018-01-08 10:53:01
18003;201801-02;2018-01-16 11:41:07
18003;201802-01;2018-01-30 10:12:04
18015;201710-02;2018-01-02 00:00:00
18027;201801-02;2018-01-04 15:52:37
18027;201802-01;2018-01-29 15:52:55
18032;201802-01;2018-01-26 14:33:51
18032;201802-02;2018-02-19 16:34:41
18044;201801-01;2018-01-08 10:52:19
18044;201801-02;2018-01-16 11:40:17
18044;201802-01;2018-01-30 10:10:34
18096;201804-02;2018-02-20 13:56:36
18096;;2018-05-02 09:45:01
18101;201712-02;2018-01-02 00:00:00
18101;201801-01;2018-01-02 15:26:15
18101;201801-02;2018-01-16 11:37:45
18101;201802-01;2018-01-30 09:52:21
18101;201802-02;2018-02-19 16:33:01
18101;201803-01;2018-03-07 12:02:38
18101;201803-02;2018-03-20 17:03:55
18101;201804-01;2018-04-02 11:33:02
18101;201804-02;2018-04-16 11:40:31
18101;201805-01;2018-05-02 10:17:39
18109;201801-01;2018-01-02 13:46:40
18119;201710-02;2018-01-02 00:00:00
18123;201804-01;2018-04-02 11:49:47
18123;201804-02;2018-04-16 11:40:43
18123;201805-01;2018-05-02 10:17:57
18124;201801-02;2018-01-15 13:54:21
18127;201802-01;2018-01-29 11:09:59
18127;201802-02;2018-02-19 11:09:46
18127;201803-03;2018-03-07 10:54:28
18127;201803-01;2018-03-07 10:58:44
18136;201712-02;2018-01-02 00:00:00
18136;201801-01;2018-01-02 11:38:43
18136;;2018-01-15 16:28:54
18149;201712-02;2018-01-02 00:00:00
18149;201801-01;2018-01-02 11:12:28
18149;201801-02;2018-01-16 11:29:50
18149;201802-01;2018-01-30 09:48:55
18149;201802-02;2018-02-19 16:26:46
18149;201803-01;2018-03-07 16:58:35
18149;201803-02;2018-03-20 16:50:36
18149;201804-01;2018-04-03 13:38:46
18149;201804-02;2018-04-16 16:18:10
18149;201805-01;2018-05-02 09:52:30
18152;201801-02;2018-01-15 13:53:40
18152;201802-01;2018-01-26 11:15:01
18155;201712-02;2018-01-02 00:00:00
18172;201802-02;2018-02-16 11:25:56
18177;201804-02;2018-04-06 10:11:34
18177;201805-01;2018-05-02 10:17:59
18192;201712-02;2018-01-02 00:00:00
18192;201801-01;2018-01-02 16:12:41
18192;201801-02;2018-01-16 11:40:15
18192;201802-01;2018-01-30 10:10:32
18192;201802-02;2018-02-19 16:36:23
18192;201803-01;2018-03-07 11:46:16
18192;201803-02;2018-03-20 17:03:03
18192;201804-01;2018-04-02 11:31:48
18201;201712-02;2018-01-02 00:00:00
18201;201801-01;2018-01-02 11:46:13
18246;;2018-01-02 00:00:00
18246;201804-02;2018-04-25 09:55:23
18269;201801-02;2018-01-02 14:36:55
18269;201802-01;2018-01-15 10:41:25
18269;201802-02;2018-01-29 11:12:37
18269;201803-01;2018-02-19 14:57:52
18269;201803-02;2018-03-07 11:28:33
18269;201804-01;2018-03-16 09:04:14
18269;;2018-04-03 14:06:07
18285;201712-02;2018-01-02 00:00:00
18285;201801-01;2018-01-02 15:26:25
18288;201712-02;2018-01-02 00:00:00
18288;201801-01;2018-01-02 15:26:26
18290;201712-02;2018-01-02 00:00:00
18290;201801-01;2018-01-02 10:08:05
18290;201801-02;2018-01-15 11:50:45
18290;201802-01;2018-01-29 10:30:42
18290;201802-02;2018-02-19 13:36:15
18290;201803-03;2018-03-07 10:54:29
18290;201803-01;2018-03-07 10:58:45
18291;201801-01;2018-01-10 10:22:19
18291;201801-02;2018-01-16 11:40:19
18291;201802-01;2018-01-30 10:10:35
18292;201712-02;2018-01-02 00:00:00
18292;201801-01;2018-01-02 16:12:43
18292;201801-02;2018-01-16 11:40:20
18294;201712-02;2018-01-02 00:00:00
18294;201801-01;2018-01-02 11:46:14
18294;;2018-01-16 11:26:10
18298;201801-01;2018-01-02 00:00:00
18298;201801-02;2018-01-16 08:19:57
18298;201802-01;2018-01-30 09:47:37
18298;201802-02;2018-02-19 16:30:09
18298;201803-01;2018-03-07 16:58:37
18298;201803-02;2018-03-20 16:50:38
18298;201804-01;2018-04-03 13:38:48
18298;201804-02;2018-04-16 16:18:12
18313;201712-02;2018-01-02 00:00:00
18313;201801-01;2018-01-02 15:26:28
18313;201801-02;2018-01-16 11:37:59
18313;201802-01;2018-01-30 09:52:32
18313;201802-02;2018-02-19 16:34:42
18313;201803-01;2018-03-08 08:55:33
18313;201803-02;2018-03-20 17:01:25
18313;201804-01;2018-04-03 09:11:53
18328;201801-01;2018-01-02 11:31:13
18329;201712-02;2018-01-02 00:00:00
18329;201801-01;2018-01-02 16:12:44
18329;201801-02;2018-01-16 11:40:22
18329;201802-01;2018-01-30 10:10:37
18329;201802-02;2018-02-19 16:37:46
18329;201803-01;2018-03-07 11:46:18
18329;201803-02;2018-03-20 17:03:04
18329;201804-01;2018-04-02 11:31:49
18329;201804-02;2018-04-16 11:40:45
18329;201805-01;2018-05-02 10:18:00
18340;201712-02;2018-01-02 00:00:00
18340;201801-01;2018-01-02 11:12:29
18340;201801-02;2018-01-16 11:29:52
18340;201802-01;2018-01-30 09:48:57
