rm;tipo_rm;data_transicao
18313;Corretiva;2018-01-02 00:00:00
18329;Evolutiva;2018-01-02 00:00:00
18340;Evoluções e Novos Projetos;2018-01-02 00:00:00
18354;Evoluções e Novos Projetos;2018-01-02 00:00:00
18388;Evolutiva;2018-01-02 00:00:00
18427;Evoluções e Novos Projetos;2018-01-02 00:00:00
18432;Evoluções e Novos Projetos;2018-01-30 10:06:47
18468;Evoluções e Novos Projetos;2018-01-02 00:00:00
18469;Evoluções e Novos Projetos;2018-01-02 00:00:00
18491;Correções;2018-04-30 14:14:37
18520;Evolutiva;2018-02-06 16:01:53
18561;Correções;2018-03-01 10:54:24
18568;Corretiva;2018-02-06 16:58:12
18568;Atendimento;2018-02-26 08:39:54
18568;Corretiva;2018-03-07 11:30:53
18571;Evoluções e Novos Projetos;2018-01-02 00:00:00
18599;Evolutiva;2018-01-02 00:00:00
18612;Evoluções e Novos Projetos;2018-01-02 00:00:00
18641;Correções;2018-03-07 16:21:35
18660;Evolutiva;2018-02-22 14:50:21
18665;Evoluções e Novos Projetos;2018-01-02 00:00:00
18666;Evoluções e Novos Projetos;2018-02-19 10:29:30
18672;Atendimento;2018-01-17 14:42:45
18682;Atendimento;2018-01-09 15:25:04
18727;Corretiva;2018-01-02 00:00:00
18739;Corretiva;2018-01-02 11:24:07
18770;Atendimento;2018-04-06 15:12:18
18791;Evoluções e Novos Projetos;2018-01-02 00:00:00
18804;Corretiva;2018-01-02 00:00:00
18809;Evolutiva;2018-02-22 14:41:57
18819;Evoluções e Novos Projetos;2018-01-17 14:08:31
18821;Evoluções e Novos Projetos;2018-01-02 00:00:00
18822;Atendimento;2018-01-16 11:22:03
18844;Evoluções e Novos Projetos;2018-01-05 11:42:51
18860;Correções;2018-02-02 08:35:47
18874;Evolutiva;2018-02-16 10:47:17
18884;Corretiva;2018-01-02 00:00:00
18920;Correções;2018-01-02 00:00:00
18926;Evolutiva;2018-01-29 16:15:07
18957;Corretiva;2018-01-02 08:44:52
18957;Atendimento;2018-01-03 10:50:58
18957;Corretiva;2018-01-03 10:57:24
18965;Evoluções e Novos Projetos;2018-01-02 15:16:07
18991;Evoluções e Novos Projetos;2018-01-26 15:25:55
18995;Evolutiva;2018-01-29 14:21:44
18995;Atendimento;2018-04-10 09:36:41
18999;Atendimento;2018-01-25 14:59:50
19010;Corretiva;2018-02-06 15:45:06
19014;Evoluções e Novos Projetos;2018-02-20 10:16:59
19016;Evoluções e Novos Projetos;2018-02-07 09:51:54
19028;Evoluções e Novos Projetos;2018-01-04 10:34:03
19035;Evolutiva;2018-03-05 15:31:55
19064;Evoluções e Novos Projetos;2018-03-05 10:18:01
19068;Evoluções e Novos Projetos;2018-03-05 10:21:00
19083;Evoluções e Novos Projetos;2018-01-08 15:34:54
19085;Corretiva;2018-01-09 08:27:03
19085;Evolutiva;2018-01-10 11:13:01
19094;Evolutiva;2018-01-11 09:05:04
19098;Evoluções e Novos Projetos;2018-01-09 14:05:50
19100;Correções;2018-01-09 15:17:02
19109;Evoluções e Novos Projetos;2018-02-28 10:59:26
19150;Evolutiva;2018-02-19 09:10:18
19153;Corretiva;2018-01-12 11:50:45
19158;Evolutiva;2018-01-12 15:08:42
19159;Corretiva;2018-02-06 10:03:59
19168;Evoluções e Novos Projetos;2018-02-19 16:50:35
19170;Evolutiva;2018-01-26 11:28:20
19184;Evoluções e Novos Projetos;2018-01-16 11:21:06
19186;Evoluções e Novos Projetos;2018-01-16 15:43:25
19200;Evoluções e Novos Projetos;2018-02-15 16:27:44
19208;Evoluções e Novos Projetos;2018-02-20 11:39:48
19214;Evoluções e Novos Projetos;2018-01-18 10:05:24
19215;Correções;2018-01-19 11:22:34
19217;Correções;2018-01-22 10:50:17
19218;Evoluções e Novos Projetos;2018-01-18 10:06:22
19219;Evoluções e Novos Projetos;2018-02-20 14:09:37
19223;Corretiva;2018-01-22 09:49:55
19227;Evolutiva;2018-01-24 14:39:48
19233;Correções;2018-01-22 10:50:46
19242;Evolutiva;2018-01-22 15:36:37
19245;Corretiva;2018-01-22 12:27:14
19250;Correções;2018-01-22 10:56:32
19253;Corretiva;2018-02-01 11:11:59
19253;Atendimento;2018-02-05 09:02:18
19260;Corretiva;2018-01-26 16:01:57
19263;Correções;2018-01-22 14:49:01
19270;Corretiva;2018-01-25 10:38:13
19275;Evoluções e Novos Projetos;2018-01-24 14:15:47
19275;Atendimento;2018-01-29 16:00:39
